Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Heart failure	C0018801	HSF1	3297	Q00613	heat shock transcription factor 1	transcription factor	101	0.552	0.655	0.94525	0.2	no reported evidence		1	0	2014.0	2014.0
Heart failure	C0018801	RAMP2	10266	O60895	receptor activity modifying protein 2	receptor	35	0.663	0.517	0.0481	0.2	no reported evidence		1	0	2003.0	2003.0
Heart failure	C0018801	OGT	8473	O15294	O-linked N-acetylglucosamine (GlcNAc) transferase		32	0.672	0.448	1.0	0.2	no reported evidence		1	0	2012.0	2012.0
Heart failure	C0018801	ERBB4	2066	Q15303	erb-b2 receptor tyrosine kinase 4		185	0.494	0.69	0.99892	0.2	no reported evidence		1	0	1999.0	1999.0
Heart failure	C0018801	ACAN	176	P16112	aggrecan	extracellular matrix protein	129	0.562	0.724	1.0	0.2	no reported evidence		1	0	2015.0	2015.0
Heart failure	C0018801	MMP14	4323	P50281	matrix metallopeptidase 14	hydrolase; protease	240	0.466	0.724	0.99515	0.2	no reported evidence		1	0	2000.0	2000.0
Heart failure	C0018801	NGFR	4804	P08138	nerve growth factor receptor	receptor	160	0.508	0.724	0.29947	0.2	no reported evidence		1	0	2006.0	2006.0
Heart failure	C0018801	MAS1	4142	P04201	MAS1 proto-oncogene, G protein-coupled receptor		56	0.609	0.586	9.8353e-05	0.2	no reported evidence		1	0	2012.0	2012.0
Heart failure	C0018801	MDH2	4191	P40926	malate dehydrogenase 2	oxidoreductase	89	0.627	0.483	0.0067243	0.2	no reported evidence		1	0	2007.0	2007.0
Heart failure	C0018801	MYOD1	4654	P15172	myogenic differentiation 1	nucleic acid binding; transcription factor	80	0.604	0.621	0.15146	0.2	no reported evidence		1	0	2010.0	2010.0
Heart failure	C0018801	BCL2	596	P10415	BCL2, apoptosis regulator	signaling molecule	987	0.312	0.862	0.56705	0.2	no reported evidence		1	0	2008.0	2008.0
Heart failure	C0018801	P2RX4	5025	Q99571	purinergic receptor P2X 4	receptor; transporter	49	0.645	0.414	5.6415e-12	0.2	no reported evidence		1	0	2006.0	2006.0
Heart failure	C0018801	MMP2	4313	P08253	matrix metallopeptidase 2	hydrolase; protease	628	0.373	0.862	0.83952	0.2	no reported evidence		1	0	2000.0	2000.0
Heart failure	C0018801	TIMP4	7079	Q99727	TIMP metallopeptidase inhibitor 4	enzyme modulator	62	0.607	0.621	0.00032907	0.2	no reported evidence		1	0	2000.0	2000.0
Heart failure	C0018801	MMP8	4317	P22894	matrix metallopeptidase 8	hydrolase; protease	107	0.552	0.724	1.0411e-24	0.2	no reported evidence		1	0	2000.0	2000.0
Heart failure	C0018801	RNLS	55328	Q5VYX0	renalase, FAD dependent amine oxidase		21	0.701	0.379	4.4412e-06	0.2	no reported evidence		1	0	2011.0	2011.0
Heart failure	C0018801	MED1	5469	Q15648	mediator complex subunit 1	nucleic acid binding	51	0.607	0.552	1.0	0.2	no reported evidence		0	0		
Heart failure	C0018801	MMP13	4322	P45452	matrix metallopeptidase 13	hydrolase; protease	234	0.479	0.759	7.37e-18	0.2	no reported evidence		2	0	2000.0	2000.0
Heart failure	C0018801	SELP	6403	P16109	selectin P		151	0.519	0.724	4.2701e-32	0.2	no reported evidence		1	0	2009.0	2009.0
Heart failure	C0018801	CHRNA4	1137	P43681	cholinergic receptor nicotinic alpha 4 subunit	receptor; transporter	153	0.521	0.586	0.00011281	0.2	no reported evidence		1	0	2006.0	2006.0
Heart failure	C0018801	TIMP2	7077	P16035	TIMP metallopeptidase inhibitor 2	enzyme modulator	224	0.467	0.759	0.80818	0.2	no reported evidence		1	0	2000.0	2000.0
Heart failure	C0018801	TNFRSF11B	4982	O00300	TNF receptor superfamily member 11b		270	0.467	0.69	0.21052	0.2	no reported evidence		1	0	2005.0	2005.0
Heart failure	C0018801	TH	7054	P07101	tyrosine hydroxylase		203	0.498	0.759	2.4899e-06	0.2	no reported evidence		1	0	2011.0	2011.0
Heart failure	C0018801	OPA1	4976	O60313	OPA1, mitochondrial dynamin like GTPase	cytoskeletal protein; enzyme modulator; hydrolase	150	0.555	0.621	0.99792	0.2	no reported evidence		1	0	2009.0	2009.0
Heart failure	C0018801	UCP2	7351	P55851	uncoupling protein 2		148	0.53	0.69	1.3475e-10	0.2	no reported evidence		2	0	2010.0	2011.0
Heart failure	C0018801	CHRM4	1132	P08173	cholinergic receptor muscarinic 4	receptor	31	0.799	0.172	0.97315	0.2	no reported evidence		1	0	2006.0	2006.0
Heart failure	C0018801	BAX	581	Q07812	BCL2 associated X, apoptosis regulator	signaling molecule	267	0.45	0.862	0.30181	0.2	no reported evidence		1	0	2008.0	2008.0
Heart failure	C0018801	PLCD1	5333	P51178	phospholipase C delta 1	enzyme modulator; signaling molecule	41	0.667	0.517	1.2262e-18	0.2	no reported evidence		1	0	2001.0	2001.0
Heart failure	C0018801	IL6R	3570	P08887	interleukin 6 receptor	defense/immunity protein; signaling molecule	165	0.496	0.724	2.8446e-05	0.2	no reported evidence		1	0	2007.0	2007.0
Heart failure	C0018801	NPTXR	23467	O95502	neuronal pentraxin receptor		6	0.815	0.172	0.74461	0.2	no reported evidence		1	0	2006.0	2006.0
Heart failure	C0018801	DNMT1	1786	P26358	DNA methyltransferase 1		299	0.438	0.759	1.0	0.2	no reported evidence		1	0	2014.0	2014.0
Heart failure	C0018801	PLD2	5338	O14939	phospholipase D2		43	0.652	0.483	2.2893e-27	0.2	no reported evidence		1	0	2004.0	2004.0
Heart failure	C0018801	BIRC5	332	O15392	baculoviral IAP repeat containing 5	enzyme modulator	191	0.479	0.655	0.056738	0.2	no reported evidence		1	0	2006.0	2006.0
Heart failure	C0018801	MTPN	136319	P58546	myotrophin		5	0.857	0.069	0.82909	0.2	no reported evidence		0	0		
Heart failure	C0018801	TUBB	203068	P07437	tubulin beta class I	cytoskeletal protein	84	0.611	0.655	0.98045	0.2	no reported evidence		1	0	2006.0	2006.0
Heart failure	C0018801	DMD	1756	P11532	dystrophin		299	0.477	0.724	1.0	0.2	no reported evidence	0.928571428571429	14	0	1996.0	2016.0
Heart failure	C0018801	DIO3	1735	P55073	iodothyronine deiodinase 3		34	0.663	0.517	0.59525	0.2	no reported evidence		1	0	2008.0	2008.0
Heart failure	C0018801	IL17A	3605	Q16552	interleukin 17A		468	0.391	0.862	0.044037	0.2	no reported evidence		2	0	2009.0	2010.0
Heart failure	C0018801	SCN8A	6334	Q9UQD0	sodium voltage-gated channel alpha subunit 8	transporter	168	0.557	0.552	1.0	0.2	no reported evidence		1	0	2010.0	2010.0
Heart failure	C0018801	CYP11B1	1584	P15538	cytochrome P450 family 11 subfamily B member 1		99	0.588	0.552	7.597e-07	0.2	no reported evidence		1	0	2009.0	2009.0
Heart failure	C0018801	KCNK2	3776	O95069	potassium two pore domain channel subfamily K member 2		38	0.667	0.276	0.020969	0.2	no reported evidence		1	0	2015.0	2015.0
Heart failure	C0018801	PGF	5228	P49763	placental growth factor	signaling molecule	142	0.52	0.621	0.135	0.2	no reported evidence		1	0	2009.0	2009.0
Heart failure	C0018801	LIF	3976	P15018	LIF, interleukin 6 family cytokine	signaling molecule	138	0.528	0.655	0.50007	0.2	no reported evidence		1	0	2010.0	2010.0
Heart failure	C0018801	LMNA	4000	P02545	lamin A/C		727	0.406	0.724	0.9983	0.18	no reported evidence	0.875	8	2	2006.0	2014.0
Heart failure	C0018801	GJA1	2697	P17302	gap junction protein alpha 1	cell junction protein	496	0.431	0.793	0.1384	0.16	no reported evidence	0.8	6	0	2003.0	2015.0
Heart failure	C0018801	BAG3	9531	O95817	BCL2 associated athanogene 3		117	0.558	0.69	0.55659	0.15	no reported evidence	1.0	5	0	2011.0	2016.0
Heart failure	C0018801	DSP	1832	P15924	desmoplakin	cytoskeletal protein	155	0.532	0.69	0.99971	0.14	no reported evidence	1.0	4	1	2006.0	2015.0
Heart failure	C0018801	TNNI3	7137	P19429	troponin I3, cardiac type	cytoskeletal protein	65	0.6	0.586	0.086984	0.12	no reported evidence	1.0	2	0	2005.0	2008.0
Heart failure	C0018801	TAZ	6901	Q16635	tafazzin	transferase	144	0.543	0.655	0.72339	0.12	no reported evidence	1.0	2	0	2009.0	2013.0
Heart failure	C0018801	PSEN1	5663	P49768	presenilin 1	calcium-binding protein; hydrolase; protease; signaling molecule	268	0.49	0.69	0.97833	0.11	no reported evidence	1.0	1	0	2007.0	2007.0
Heart failure	C0018801	TPM1	7168	P09493	tropomyosin 1	cytoskeletal protein	74	0.592	0.448	0.0011646	0.11	no reported evidence	1.0	1	0	2005.0	2005.0
Heart failure	C0018801	HFE	3077	Q30201	homeostatic iron regulator		334	0.44	0.69	3.0065e-08	0.11	no reported evidence	1.0	1	1	2009.0	2009.0
Heart failure	C0018801	PSEN2	5664	P49810	presenilin 2	hydrolase; protease; signaling molecule	108	0.567	0.517	0.002428	0.11	no reported evidence	1.0	1	0	2007.0	2007.0
Heart failure	C0018801	COX2	4513	P00403	cytochrome c oxidase subunit II	oxidoreductase	494	0.397	0.862		0.11	no reported evidence	1.0	1	0	2008.0	2008.0
Heart failure	C0018801	SLC22A5	6584	O76082	solute carrier family 22 member 5		71	0.663	0.552	1.5303e-15	0.11	no reported evidence	1.0	1	0	2011.0	2011.0
Heart failure	C0018801	EYA4	2070	O95677	EYA transcriptional coactivator and phosphatase 4		52	0.645	0.414	0.062531	0.11	no reported evidence	1.0	1	0	2005.0	2005.0
Heart failure	C0018801	ACTC1	70	P68032	actin, alpha, cardiac muscle 1	cytoskeletal protein	43	0.656	0.414	0.77606	0.11	no reported evidence	1.0	1	0	2011.0	2011.0
Heart failure	C0018801	PRKAG2	51422	Q9UGJ0	protein kinase AMP-activated non-catalytic subunit gamma 2	enzyme modulator	87	0.614	0.414	0.99578	0.11	no reported evidence	1.0	1	0	2014.0	2014.0
Heart failure	C0018801	GLB1	2720	P16278	galactosidase beta 1	hydrolase	341	0.457	0.828	7.639e-10	0.11	no reported evidence	1.0	1	0	2002.0	2002.0
Heart failure	C0018801	FBN1	2200	P35555	fibrillin 1	calcium-binding protein; cell adhesion molecule; extracellular matrix protein; signaling molecule	413	0.469	0.69	1.0	0.11	no reported evidence	1.0	1	0	1994.0	1994.0
Heart failure	C0018801	PRDM16	63976	Q9HAZ2	PR/SET domain 16		132	0.573	0.621	0.99999	0.11	no reported evidence	1.0	1	0	2015.0	2015.0
Heart failure	C0018801	RBM20	282996	Q5T481	RNA binding motif protein 20		13	0.785	0.138	0.98966	0.11	no reported evidence	1.0	1	0	2009.0	2009.0
Heart failure	C0018801	GCKR	2646	Q14397	glucokinase regulator		100	0.636	0.414	6.0992e-18	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	TRNS2	4575		tRNA		105	0.611	0.517		0.1	no reported evidence		0	0		
Heart failure	C0018801	TRNS1	4574		tRNA		142	0.584	0.586		0.1	no reported evidence		0	0		
Heart failure	C0018801	TRNQ	4572		tRNA		90	0.624	0.517		0.1	no reported evidence		0	0		
Heart failure	C0018801	TRNK	4566		tRNA		106	0.611	0.552		0.1	no reported evidence		0	0		
Heart failure	C0018801	FADS1	3992	O60427	fatty acid desaturase 1		72	0.636	0.621	0.41321	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	TRNV	4577		tRNA		35	0.713	0.345		0.1	no reported evidence		0	0		
Heart failure	C0018801	TRNW	4578		tRNA		91	0.633	0.483		0.1	no reported evidence		0	0		
Heart failure	C0018801	TRIM37	4591	O94972	tripartite motif containing 37		79	0.627	0.586	1.223e-11	0.1	no reported evidence		0	0		
Heart failure	C0018801	EPG5	57724	Q9HCE0	ectopic P-granules autophagy protein 5 homolog		107	0.624	0.69	2.3938e-13	0.1	no reported evidence		0	0		
Heart failure	C0018801	SUGP1	57794	Q8IWZ8	SURP and G-patch domain containing 1	nucleic acid binding	54	0.642	0.517	0.99446	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	CDH15	1013	P55291	cadherin 15		25	0.696	0.517	1.8446e-13	0.1	no reported evidence		0	1		
Heart failure	C0018801	GATAD1	57798	Q8WUU5	GATA zinc finger domain containing 1		9	0.799	0.172	0.42558	0.1	no reported evidence		0	0		
Heart failure	C0018801	TRNF	4558		tRNA		100	0.616	0.517		0.1	no reported evidence		0	0		
Heart failure	C0018801	TRNE	4556		tRNA		37	0.735	0.414		0.1	no reported evidence		0	0		
Heart failure	C0018801	ND6	4541	P03923	NADH dehydrogenase, subunit 6 (complex I)		126	0.59	0.552		0.1	no reported evidence		0	0		
Heart failure	C0018801	TPI1	7167	P60174	triosephosphate isomerase 1	isomerase	120	0.564	0.655	0.020478	0.1	no reported evidence		0	0		
Heart failure	C0018801	POLK	51426	Q9UBT6	DNA polymerase kappa		29	0.743	0.207	3.682e-12	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	CAV3	859	P56539	caveolin 3	enzyme modulator; membrane traffic protein; structural protein; transmembrane receptor regulatory/adaptor protein	101	0.592	0.414	0.0058792	0.1	no reported evidence		0	0		
Heart failure	C0018801	SEMA5B	54437	Q9P283	semaphorin 5B	signaling molecule	18	0.815	0.241	2.8781e-10	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	COL1A2	1278	P08123	collagen type I alpha 2 chain		216	0.526	0.724	1.0	0.1	no reported evidence		0	0		
Heart failure	C0018801	COL1A1	1277	P02452	collagen type I alpha 1 chain		336	0.472	0.724	1.0	0.1	no reported evidence		0	0		
Heart failure	C0018801	TMEM70	54968	Q9BUB7	transmembrane protein 70		91	0.656	0.586	0.017223	0.1	no reported evidence		0	0		
Heart failure	C0018801	CLIC2	1193	O15247	chloride intracellular channel 2		24	0.735	0.207	0.055822	0.1	no reported evidence		0	0		
Heart failure	C0018801	TRNC	4511		tRNA		33	0.713	0.345		0.1	no reported evidence		0	0		
Heart failure	C0018801	COX1	4512	P00395	cytochrome c oxidase subunit I	oxidoreductase	228	0.494	0.862		0.1	no reported evidence		0	0		
Heart failure	C0018801	ZCCHC8	55596	Q6NZY4	zinc finger CCHC-type containing 8	nucleic acid binding	19	0.815	0.172	0.99962	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	COX3	4514	P00414	cytochrome c oxidase III	oxidoreductase	125	0.592	0.517		0.1	no reported evidence		0	0		
Heart failure	C0018801	CYTB	4519	P00156	cytochrome b		112	0.569	0.724		0.1	no reported evidence		0	0		
Heart failure	C0018801	ND1	4535	P03886	NADH dehydrogenase, subunit 1 (complex I)	oxidoreductase	148	0.557	0.655		0.1	no reported evidence		0	0		
Heart failure	C0018801	ND5	4540	P03915	NADH dehydrogenase, subunit 5 (complex I)	oxidoreductase	147	0.561	0.552		0.1	no reported evidence		0	0		
Heart failure	C0018801	HAMP	57817	P81172	hepcidin antimicrobial peptide		181	0.499	0.759	0.0082683	0.1	no reported evidence		0	0		
Heart failure	C0018801	TF	7018	P02787	transferrin	hydrolase; protease; receptor; transfer/carrier protein	121	0.548	0.724	4.2941e-08	0.1	no reported evidence		0	0		
Heart failure	C0018801	TCF7L2	6934	Q9NQB0	transcription factor 7 like 2		145	0.538	0.621	0.99457	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	ZFHX3	463	Q15911	zinc finger homeobox 3		51	0.656	0.517	1.0	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	PHYH	5264	O14832	phytanoyl-CoA 2-hydroxylase		71	0.667	0.517	1.7832e-06	0.1	no reported evidence		0	0		
Heart failure	C0018801	CMTM7	112616	Q96FZ5	CKLF like MARVEL transmembrane domain containing 7		3	0.886	0.138	0.042982	0.1	no reported evidence		1	1	2010.0	2010.0
Heart failure	C0018801	ABCC6	368	O95255	ATP binding cassette subfamily C member 6	transporter	111	0.59	0.552	4.832e-35	0.1	no reported evidence		0	0		
Heart failure	C0018801	SLC25A26	115286	Q70HW3	solute carrier family 25 member 26		29	0.762	0.207	1.4923e-06	0.1	no reported evidence		0	0		
Heart failure	C0018801	S100A1	6271	P23297	S100 calcium binding protein A1	calcium-binding protein; signaling molecule	201	0.479	0.759	0.0065463	0.1	no reported evidence	1.0	11	0	1996.0	2014.0
Heart failure	C0018801	DNAJC19	131118	Q96DA6	DnaJ heat shock protein family (Hsp40) member C19		36	0.743	0.414	0.00042845	0.1	no reported evidence		0	0		
Heart failure	C0018801	PLCG1	5335	P19174	phospholipase C gamma 1	calcium-binding protein; enzyme modulator; hydrolase; signaling molecule	62	0.611	0.517	0.00017898	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	PLOD1	5351	Q02809	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	oxidoreductase	112	0.609	0.448	1.1703e-14	0.1	no reported evidence		0	0		
Heart failure	C0018801	RPS19	6223	P39019	ribosomal protein S19	nucleic acid binding	166	0.527	0.793	0.82234	0.1	no reported evidence		0	0		
Heart failure	C0018801	NSMCE2	286053	Q96MF7	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase		44	0.681	0.448	0.038591	0.1	no reported evidence		0	0		
Heart failure	C0018801	RET	5979	P07949	ret proto-oncogene		452	0.418	0.724	1.0	0.1	no reported evidence		0	0		
Heart failure	C0018801	PRKAR1A	5573	P10644	protein kinase cAMP-dependent type I regulatory subunit alpha		349	0.466	0.69	0.9999	0.1	no reported evidence		0	0		
Heart failure	C0018801	PSMB8	5696	P28062	proteasome subunit beta 8	hydrolase; protease	125	0.586	0.759	0.025478	0.1	no reported evidence		0	0		
Heart failure	C0018801	PEX7	5191	O00628	peroxisomal biogenesis factor 7		132	0.592	0.655	1.2668e-12	0.1	no reported evidence		0	0		
Heart failure	C0018801	ADAMTSL1	92949	Q8N6G6	ADAMTS like 1	enzyme modulator; extracellular matrix protein; hydrolase; protease	8	0.799	0.276	3.2373e-12	0.1	no reported evidence		1	1	2010.0	2010.0
Heart failure	C0018801	ENPP1	5167	P22413	ectonucleotide pyrophosphatase/phosphodiesterase 1	hydrolase; phosphatase	145	0.54	0.69	3.1738e-08	0.1	no reported evidence		0	0		
Heart failure	C0018801	ELAC2	60528	Q9BQ52	elaC ribonuclease Z 2		33	0.707	0.276	3.0912e-20	0.1	no reported evidence		0	0		
Heart failure	C0018801	MYLK2	85366	Q9H1R3	myosin light chain kinase 2		21	0.785	0.103	0.23795	0.1	no reported evidence		0	0		
Heart failure	C0018801	IFIH1	64135	Q9BYX4	interferon induced with helicase C domain 1		184	0.524	0.759	5.478e-44	0.1	no reported evidence		0	0		
Heart failure	C0018801	FTO	79068	Q9C0B1	FTO, alpha-ketoglutarate dependent dioxygenase		192	0.519	0.828	1.077e-07	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	GNPTAB	79158	Q3T906	N-acetylglucosamine-1-phosphate transferase subunits alpha and beta		139	0.624	0.655	8.0635e-19	0.1	no reported evidence		0	0		
Heart failure	C0018801	TMEM43	79188	Q9BTV4	transmembrane protein 43		38	0.69	0.276	1.2714e-12	0.1	no reported evidence		0	0		
Heart failure	C0018801	SLC2A10	81031	O95528	solute carrier family 2 member 10	transporter	99	0.594	0.621	2.3828e-08	0.1	no reported evidence		0	0		
Heart failure	C0018801	GTPBP3	84705	Q969Y2	GTP binding protein 3, mitochondrial		30	0.785	0.138	1.3218e-08	0.1	no reported evidence		0	0		
Heart failure	C0018801	CEP19	84984	Q96LK0	centrosomal protein 19		10	0.785	0.138	0.011609	0.1	no reported evidence		0	0		
Heart failure	C0018801	ATP5F1A	498	P25705	ATP synthase F1 subunit alpha	hydrolase; nucleic acid binding; receptor; transporter	49	0.639	0.448		0.1	no reported evidence		0	0		
Heart failure	C0018801	ATP2B1	490	P20020	ATPase plasma membrane Ca2+ transporting 1	hydrolase; transporter	38	0.707	0.379	1.0	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	MAML3	55534	Q96JK9	mastermind like transcriptional coactivator 3	transcription factor	35	0.696	0.414	0.9999	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	SDHD	6392	O14521	succinate dehydrogenase complex subunit D	transfer/carrier protein	248	0.499	0.793	0.21474	0.1	no reported evidence		0	0		
Heart failure	C0018801	SDHB	6390	P21912	succinate dehydrogenase complex iron sulfur subunit B	oxidoreductase	207	0.513	0.69	0.00033529	0.1	no reported evidence		0	0		
Heart failure	C0018801	TRNL1	4567		tRNA		147	0.58	0.552		0.1	no reported evidence		0	0		
Heart failure	C0018801	LIPC	3990	P11150	lipase C, hepatic type	hydrolase; storage protein	91	0.611	0.517	2.1581e-07	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	KCNJ5	3762	P48544	potassium voltage-gated channel subfamily J member 5		79	0.579	0.517	0.00045518	0.1	no reported evidence		0	0		
Heart failure	C0018801	IDS	3423	P22304	iduronate 2-sulfatase		92	0.616	0.655	0.94354	0.1	no reported evidence		0	0		
Heart failure	C0018801	RAB3GAP2	25782	Q9H2M9	RAB3 GTPase activating non-catalytic protein subunit 2	enzyme modulator	164	0.592	0.586	0.99931	0.1	no reported evidence		0	0		
Heart failure	C0018801	BAZ1B	9031	Q9UIG0	bromodomain adjacent to zinc finger domain 1B		165	0.609	0.552	1.0	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	WRN	7486	Q14191	Werner syndrome RecQ like helicase	nucleic acid binding	138	0.545	0.586	3.0975e-33	0.1	no reported evidence		0	0		
Heart failure	C0018801	DTNA	1837	Q9Y4J8	dystrobrevin alpha		27	0.696	0.241	0.69399	0.1	no reported evidence		0	0		
Heart failure	C0018801	JUP	3728	P14923	junction plakoglobin		73	0.619	0.414	0.00059417	0.1	no reported evidence		0	0		
Heart failure	C0018801	GLA	2717	P06280	galactosidase alpha		135	0.588	0.621	0.99705	0.1	no reported evidence		0	0		
Heart failure	C0018801	SLC17A5	26503	Q9NRA2	solute carrier family 17 member 5	transporter	158	0.547	0.759	8.355e-10	0.1	no reported evidence		0	0		
Heart failure	C0018801	PPA2	27068	Q9H2U2	pyrophosphatase (inorganic) 2	hydrolase	12	0.815	0.103	1.0518e-10	0.1	no reported evidence		0	0		
Heart failure	C0018801	ITPK1	3705	Q13572	inositol-tetrakisphosphate 1-kinase		21	0.834	0.138	0.99442	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	VHL	7428	P40337	von Hippel-Lindau tumor suppressor		293	0.464	0.586	0.0554	0.1	no reported evidence		0	0		
Heart failure	C0018801	ACAD9	28976	Q9H845	acyl-CoA dehydrogenase family member 9	oxidoreductase; transferase	54	0.727	0.345	2.563e-08	0.1	no reported evidence		0	0		
Heart failure	C0018801	DNAH8	1769	Q96JB1	dynein axonemal heavy chain 8	cytoskeletal protein; hydrolase	156	0.51	0.759	4.9502e-57	0.1	no reported evidence	1.0	11	0	1999.0	2016.0
Heart failure	C0018801	VCL	7414	P18206	vinculin		53	0.63	0.414	0.079751	0.1	no reported evidence		0	0		
Heart failure	C0018801	SIK3	23387	Q9Y2K2	SIK family kinase 3	kinase; transferase	32	0.752	0.31	1.0	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	FLNA	2316	P21333	filamin A		509	0.456	0.793	1.0	0.1	no reported evidence		0	0		
Heart failure	C0018801	GRHL1	29841	Q9NZI5	grainyhead like transcription factor 1	transcription factor	13	0.799	0.241	0.21276	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	FXN	2395	Q16595	frataxin	kinase; transferase; transporter	162	0.527	0.586	0.33258	0.1	no reported evidence		0	0		
Heart failure	C0018801	FLNC	2318	Q14315	filamin C		73	0.624	0.448	0.99984	0.1	no reported evidence		0	0		
Heart failure	C0018801	HADHA	3030	P40939	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	isomerase; lyase; oxidoreductase	87	0.616	0.552	4.4307e-06	0.1	no reported evidence		0	0		
Heart failure	C0018801	HJV	148738	Q6ZVN8	hemojuvelin BMP co-receptor		51	0.685	0.414		0.1	no reported evidence		0	0		
Heart failure	C0018801	HBA2	3040	P69905	hemoglobin subunit alpha 2		158	0.524	0.724	0.0030968	0.1	no reported evidence		0	0		
Heart failure	C0018801	KIF1B	23095	O60333	kinesin family member 1B	cytoskeletal protein	140	0.548	0.586	1.0	0.1	no reported evidence		0	0		
Heart failure	C0018801	HADHB	3032	P55084	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	transferase	54	0.685	0.552	2.0154e-11	0.1	no reported evidence		0	0		
Heart failure	C0018801	ALMS1	7840	Q8TCU4	ALMS1, centrosome and basal body associated protein		121	0.59	0.621	7.8121e-58	0.1	no reported evidence		0	0		
Heart failure	C0018801	ADAMTSL2	9719	Q86TH1	ADAMTS like 2	enzyme modulator; extracellular matrix protein; hydrolase; protease	65	0.676	0.276	0.0014003	0.1	no reported evidence		0	0		
Heart failure	C0018801	SLC30A3	7781	Q99726	solute carrier family 30 member 3	transporter	26	0.762	0.207	0.44044	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	HBA1	3039	P69905	hemoglobin subunit alpha 1		183	0.508	0.759	0.0063423	0.1	no reported evidence		0	0		
Heart failure	C0018801	COL4A3BP	10087	Q9Y5P4	collagen type IV alpha 3 binding protein	kinase; transfer/carrier protein; transferase	71	0.672	0.552	0.65902	0.1	no reported evidence		1	1	2016.0	2016.0
Heart failure	C0018801	CALM3	808	P0DP23;P0DP24;P0DP25	calmodulin 3		182	0.479	0.793	0.922	0.09	no reported evidence	1.0	9	0	1994.0	2014.0
Heart failure	C0018801	CALM2	805	P0DP23;P0DP24;P0DP25	calmodulin 2		198	0.472	0.793	0.92487	0.09	no reported evidence	1.0	9	0	1994.0	2014.0
Heart failure	C0018801	CALM1	801	P0DP23;P0DP24;P0DP25	calmodulin 1		203	0.469	0.793	0.94658	0.09	no reported evidence	1.0	9	0	1994.0	2014.0
Heart failure	C0018801	AMPD1	270	P23109	adenosine monophosphate deaminase 1	hydrolase	68	0.616	0.517	3.8618e-21	0.09	no reported evidence	1.0	9	0	1999.0	2017.0
Heart failure	C0018801	TTN	7273	Q8WZ42	titin		159	0.534	0.655	6.4333e-84	0.09	no reported evidence	1.0	9	0	1995.0	2016.0
Heart failure	C0018801	IL18	3606	Q14116	interleukin 18		437	0.404	0.862	0.029184	0.07	no reported evidence	1.0	7	0	2005.0	2016.0
Heart failure	C0018801	APLNR	187	P35414	apelin receptor	receptor	41	0.652	0.345	0.75834	0.07	no reported evidence	1.0	7	1	2007.0	2018.0
Heart failure	C0018801	SLC3A2	6520	P08195	solute carrier family 3 member 2		227	0.462	0.724	3.523e-08	0.06	no reported evidence	0.8333333	6	0	1991.0	2015.0
Heart failure	C0018801	CYP11B2	1585	P19099	cytochrome P450 family 11 subfamily B member 2		103	0.572	0.483	9.5436e-19	0.06	no reported evidence	1.0	6	1	2002.0	2014.0
Heart failure	C0018801	PPARA	5465	Q07869	peroxisome proliferator activated receptor alpha	nucleic acid binding; receptor; transcription factor	247	0.465	0.793	0.037307	0.06	no reported evidence	1.0	6	1	2006.0	2013.0
Heart failure	C0018801	SRF	6722	P11831	serum response factor	transcription factor	75	0.598	0.69	0.97512	0.05	no reported evidence	1.0	5	0	2002.0	2013.0
Heart failure	C0018801	CASP3	836	P42574	caspase 3	enzyme modulator; hydrolase; protease	462	0.391	0.862	0.28359	0.05	no reported evidence	1.0	5	0	2003.0	2016.0
Heart failure	C0018801	TTR	7276	P02766	transthyretin	transfer/carrier protein; transporter	258	0.471	0.897	0.54676	0.05	no reported evidence	1.0	5	0	2000.0	2015.0
